id,user_id,task_id,status,completed_at,proof_data,marked_by_user_id,marked_by_nickname
0c07a147-7168-4c27-bf6d-858dcfe717c2,289e0bec-ba70-46e5-89c0-a27782fa717e,db07dfe3-9b33-4884-9578-6967d66e1ba2,available,,,,
10771e9c-513c-43af-8217-a803604371c4,86453042-6d66-489f-af76-267923921d04,2329e62a-ecac-44c4-89d8-294e5d2bd80b,available,,,,
16cea1b4-9b84-4f06-b144-210231858547,289e0bec-ba70-46e5-89c0-a27782fa717e,73079ea1-5f91-4f87-bdc5-d26865c40fb6,available,,,,
19d56e9e-2900-44e6-bf7f-aaf19e2c076c,4654ae62-a143-4ac2-8149-b79b04b7ad7a,b13435c1-727d-485b-be15-88354688cb34,available,,,,
1b7ba2f4-1125-427f-8edf-a0b553b71dec,86453042-6d66-489f-af76-267923921d04,88be1312-aacd-4c50-9277-f864d0591a69,available,,,,
1cb164d7-21c0-4751-b7e6-16da1df4046a,86453042-6d66-489f-af76-267923921d04,d66af6c0-27af-44e1-b323-ada828473c02,available,,,,
1cdde409-59c0-456d-8623-9b79a32841f6,4654ae62-a143-4ac2-8149-b79b04b7ad7a,1590c653-91c4-4925-a6f3-7bab215c2fc5,available,,,,
240746e7-9563-4704-abb8-af66442652e4,4654ae62-a143-4ac2-8149-b79b04b7ad7a,73079ea1-5f91-4f87-bdc5-d26865c40fb6,available,,,,
2aebe4ee-95da-403f-9ffe-f12c1d543a9c,289e0bec-ba70-46e5-89c0-a27782fa717e,7123548b-1bd1-4170-bdea-956fc599ad5e,available,,,,
2d55ed25-604f-4172-be82-717dc977f8af,4654ae62-a143-4ac2-8149-b79b04b7ad7a,c2d8d5d1-3234-4b4c-9ec7-fac0a594b9eb,available,,,,
383644fc-39f2-4093-810e-2c7f96a2d7d1,4654ae62-a143-4ac2-8149-b79b04b7ad7a,d66af6c0-27af-44e1-b323-ada828473c02,available,,,,
392fe016-30f6-489f-a9f0-04ec382796a9,289e0bec-ba70-46e5-89c0-a27782fa717e,f5949257-ae12-4a79-bdfb-0e16785d12aa,available,,,,
3d3f75d0-14fd-45c7-b29d-6eec3793c10a,4654ae62-a143-4ac2-8149-b79b04b7ad7a,5f67ce9f-0da9-42db-81e7-aef411a93bf4,available,,,,
3ea92c42-3ff5-4732-ad0e-d14ecdbf9ee4,4654ae62-a143-4ac2-8149-b79b04b7ad7a,0ac04b89-8ae0-4564-81ee-d81e7ff20de1,available,,,,
41fb48ac-10b3-4329-a699-93e649df9b05,86453042-6d66-489f-af76-267923921d04,0ac04b89-8ae0-4564-81ee-d81e7ff20de1,available,,,,
44095a82-26f5-4dd6-b770-d49f162f1a9b,86453042-6d66-489f-af76-267923921d04,2a2d488f-c18c-4e1e-ae38-ee563b7f1f31,available,,,,
